epoch,train_loss,val_loss_raw,val_loss_proj,val_accuracy_raw,val_accuracy_proj,val_gap_raw,val_gap_proj,val_logit_std_raw,val_logit_std_proj,val_constraint_satisfied,val_solver_status,lr,epoch_time_sec
0,0.39652038685918795,0.2579419016838074,0.31195852160453796,0.8909294009208679,0.8646509647369385,2.6063348054885864,0.0007532984018325806,3.37646222114563,3.2054567337036133,True,optimal,0.0001,191.63
1,0.24697762105877943,0.22450962662696838,0.2795097231864929,0.9067572951316833,0.8827110528945923,2.937604546546936,0.0007662177085876465,3.8281991481781006,3.6307215690612793,True,optimal,0.0001,197.51
2,0.22038417817570094,0.2097882628440857,0.2670252323150635,0.9135552048683167,0.8883421421051025,3.04083788394928,0.0007533729076385498,4.077058792114258,3.8703460693359375,True,optimal,0.0001,195.09
3,0.2056118767796539,0.20057711005210876,0.2609177529811859,0.9155336618423462,0.8908278942108154,3.260486125946045,0.0007533431053161621,4.391783714294434,4.171011447906494,True,optimal,0.0001,286.0
4,0.19662655577884885,0.19397784769535065,0.25753358006477356,0.9181716442108154,0.8922991156578064,3.435937821865082,0.0007272064685821533,4.622613906860352,4.387970447540283,True,optimal,0.0001,218.53
5,0.18912070462788183,0.18944336473941803,0.25747114419937134,0.9199472665786743,0.8916395902633667,3.5368903279304504,0.0007143616676330566,4.812319755554199,4.569132328033447,True,optimal,0.0001,209.61
6,0.1829276012036744,0.1862550973892212,0.2562481760978699,0.921875,0.8922991156578064,3.794071853160858,0.0007402300834655762,5.093523025512695,4.831754207611084,True,optimal,0.0001,202.53
7,0.17784445717578798,0.18397271633148193,0.2581120431423187,0.9228388667106628,0.891538143157959,3.9797531366348267,0.000727236270904541,5.315755844116211,5.04105806350708,True,optimal,0.0001,206.26
8,0.17341208527172644,0.18095551431179047,0.2547473609447479,0.9244115352630615,0.892704963684082,3.983897089958191,0.0007270276546478271,5.364318370819092,5.090034008026123,True,optimal,0.0001,202.22
9,0.16933862889610876,0.17985683679580688,0.2552611529827118,0.9252739548683167,0.8931108117103577,4.079167723655701,0.0007271766662597656,5.527741432189941,5.243388652801514,True,optimal,0.0001,199.71
10,0.16529820415917343,0.17836779356002808,0.258099228143692,0.9259334206581116,0.8927556872367859,4.156044602394104,0.0007141828536987305,5.68262243270874,5.39495849609375,True,optimal,8e-05,203.23
