model_type,backbone,lora,b_tau,b_infer,regime,accuracy,loss,max_pairwise_gap,mean_pairwise_gap,constraint_satisfied,num_pairs_violated,num_pairs_total,logit_std,solver_failures,total_batches,eval_time_sec
fair,resnet18,False,1024,14,primal-dual,0.594812,0.668143,0.077577,0.031377,False,91,91,0.564482,0,782,176.31
fair,resnet18,False,1024,16,primal-dual,0.622624,0.642242,0.178944,0.036501,False,91,91,0.91216,0,684,153.02
fair,resnet18,False,1024,32,primal-dual,0.703947,0.56784,0.136471,0.0272,False,90,91,1.587834,0,342,77.44
fair,resnet18,False,2,14,hard-constraint,0.576087,0.684112,5.8e-05,2e-05,True,0,91,0.524072,0,782,140.68
fair,resnet18,False,2,16,hard-constraint,0.606451,0.656271,6.6e-05,2.2e-05,True,0,91,0.88703,0,684,126.6
fair,resnet18,False,2,32,hard-constraint,0.69883,0.574828,7.7e-05,2.7e-05,True,0,91,1.579839,0,342,66.84
fair,simple_cnn,False,1024,14,primal-dual,0.564578,0.676711,0.032844,0.010617,False,91,91,0.315337,0,782,180.87
fair,simple_cnn,False,1024,16,primal-dual,0.585435,0.664545,0.075316,0.015859,False,91,91,0.487074,0,684,159.54
fair,simple_cnn,False,1024,32,primal-dual,0.636422,0.632083,0.045765,0.010451,False,87,91,0.852092,0,342,80.25
fair,simple_cnn,False,2,14,hard-constraint,0.556357,0.682258,5.1e-05,1.8e-05,True,0,91,0.295506,0,782,145.56
fair,simple_cnn,False,2,16,hard-constraint,0.57648,0.670211,5.4e-05,2.1e-05,True,0,91,0.474114,0,684,127.88
fair,simple_cnn,False,2,32,hard-constraint,0.634412,0.634505,6.7e-05,2.6e-05,True,0,91,0.848706,0,342,71.32
fair,vit_b_16,True,1024,14,primal-dual,0.600658,0.662317,0.100645,0.038661,False,90,91,0.585182,0,782,203.4
fair,vit_b_16,True,1024,16,primal-dual,0.622442,0.642635,0.224244,0.044218,False,91,91,0.93202,0,684,177.21
fair,vit_b_16,True,1024,32,primal-dual,0.711349,0.55863,0.135841,0.027486,False,91,91,1.615601,0,342,102.73
fair,vit_b_16,True,2,14,hard-constraint,0.57426,0.681935,6.2e-05,2.1e-05,True,0,91,0.545518,0,782,172.97
fair,vit_b_16,True,2,16,hard-constraint,0.605263,0.658027,6.4e-05,2.3e-05,True,0,91,0.904276,0,684,151.23
fair,vit_b_16,True,2,32,hard-constraint,0.706232,0.564658,7.9e-05,2.9e-05,True,0,91,1.607917,0,342,86.5
projection,resnet18,False,N/A,14,per-batch-projection,0.573529,0.690162,5.1e-05,1.7e-05,True,0,91,0.633649,N/A,N/A,146.5
projection,resnet18,False,N/A,16,per-batch-projection,0.603801,0.666111,5.7e-05,1.8e-05,True,0,91,1.096308,N/A,N/A,130.05
projection,resnet18,False,N/A,32,per-batch-projection,0.689145,0.595412,6.8e-05,2.4e-05,True,0,91,1.918695,N/A,N/A,71.96
projection,simple_cnn,False,N/A,14,per-batch-projection,0.55928,0.683321,5.2e-05,1.8e-05,True,0,91,0.32555,N/A,N/A,144.11
projection,simple_cnn,False,N/A,16,per-batch-projection,0.57776,0.672004,5.7e-05,2.1e-05,True,0,91,0.534767,N/A,N/A,127.06
projection,simple_cnn,False,N/A,32,per-batch-projection,0.634229,0.637901,6.7e-05,2.5e-05,True,0,91,0.943717,N/A,N/A,66.29
projection,vit_b_16,True,N/A,14,per-batch-projection,0.575174,0.711434,5.2e-05,1.6e-05,True,0,91,0.750896,N/A,N/A,166.2
projection,vit_b_16,True,N/A,16,per-batch-projection,0.600146,0.690542,5.1e-05,1.8e-05,True,0,91,1.268922,N/A,N/A,150.73
projection,vit_b_16,True,N/A,32,per-batch-projection,0.690881,0.617881,6.3e-05,2.2e-05,True,0,91,2.217815,N/A,N/A,85.17
