epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.576172915042231,0.5194754392811747,0.7333096590909091,1.7310637831687927,1.4577338695526123,False,0.0001,83.3
1,0.5044532383939153,0.4984901655804027,0.7400568181818182,2.0400134325027466,1.721847414970398,False,0.0001,95.03
2,0.4828677847001113,0.48439037709525135,0.7518939393939394,2.1115357279777527,1.8427141904830933,False,0.0001,107.59
3,0.4667117957417902,0.4790620252941594,0.7586410984848485,2.250123083591461,2.0002729892730713,False,0.0001,106.94
4,0.45393358612138973,0.4716671244664626,0.7640861742424242,2.3226694464683533,2.0752413272857666,False,0.0001,104.03
5,0.4432092366838141,0.4663373999523394,0.7670454545454546,2.3862862586975098,2.2121055126190186,False,0.0001,97.33
6,0.43188188342671646,0.46222073020357074,0.7683475378787878,2.4763524532318115,2.2979307174682617,False,0.0001,98.39
7,0.42122285920930536,0.46242436947244586,0.7674005681818182,2.569964647293091,2.424241304397583,False,0.0001,100.82
8,0.41257508667676074,0.45865879275582055,0.771780303030303,2.6885639429092407,2.508478879928589,False,0.0001,95.41
9,0.4033663301287513,0.4578464211839618,0.7737926136363636,2.5412784814834595,2.445020914077759,False,0.0001,94.48
10,0.3939535442347589,0.4573189878102505,0.7740293560606061,2.7534772753715515,2.654067039489746,False,0.0001,94.35
11,0.38303627809019464,0.46044727888974274,0.7740293560606061,2.914035201072693,2.840684175491333,False,0.0001,95.4
12,0.3756668396098049,0.46833639975750085,0.771780303030303,2.737778425216675,2.735175132751465,False,8e-05,95.77
13,0.3658567923856409,0.461419681708018,0.7765151515151515,2.984840512275696,2.953019142150879,False,8e-05,109.97
