lambda,data_seed,best_val_loss,best_gap1,best_gap2
penalty,0,0.01,tensor(0.4050),0.5237910747528076,0.05366921424865723
penalty,0,0.1,tensor(0.3893),0.19366586208343506,0.21865594387054443
penalty,0,1,tensor(0.5375),0.036798156797885895,0.015889659523963928
penalty,0,5,tensor(0.8418),0.009970486164093018,0.003367304801940918
penalty,0,10,tensor(0.9337),0.0002768468111753464,7.929094135761261e-05
penalty,0,25,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,0,100,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,1,0.01,tensor(0.4339),0.28771913051605225,0.17840039730072021
penalty,1,0.1,tensor(0.4585),0.19097772240638733,0.1531039923429489
penalty,1,1,tensor(0.5694),0.04639211297035217,0.03893880546092987
penalty,1,5,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,1,10,tensor(0.9358),1.4901161193847656e-08,3.725290298461914e-09
penalty,1,25,tensor(0.9358),1.1175870895385742e-08,7.450580596923828e-09
penalty,1,100,tensor(0.9358),1.1175870895385742e-08,1.4901161193847656e-08
penalty,2,0.01,tensor(0.4873),1.1725437641143799,0.03170078992843628
penalty,2,0.1,tensor(0.5830),0.019741743803024292,0.048169851303100586
penalty,2,1,tensor(0.5872),0.05590451508760452,0.048254817724227905
penalty,2,5,tensor(0.9358),0.0,7.450580596923828e-09
penalty,2,10,tensor(0.9358),7.450580596923828e-09,0.0
penalty,2,25,tensor(0.9358),1.4901161193847656e-08,7.450580596923828e-09
penalty,2,100,tensor(0.9358),3.725290298461914e-09,1.1175870895385742e-08
penalty,3,0.01,tensor(0.4113),0.5255553722381592,0.3273172378540039
penalty,3,0.1,tensor(0.4932),0.02792993187904358,0.08206737041473389
penalty,3,1,tensor(0.5157),0.037229932844638824,0.009951324202120304
penalty,3,5,tensor(0.8684),0.0038291066884994507,0.00043107569217681885
penalty,3,10,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,3,25,tensor(0.9358),0.0,3.725290298461914e-09
penalty,3,100,tensor(0.9358),1.4901161193847656e-08,7.450580596923828e-09
penalty,4,0.01,tensor(0.4178),0.7217904329299927,0.1367625892162323
penalty,4,0.1,tensor(0.4416),0.16232618689537048,0.25822311639785767
penalty,4,1,tensor(0.5722),0.03804530203342438,0.04488629847764969
penalty,4,5,tensor(0.9358),1.862645149230957e-08,1.1175870895385742e-08
penalty,4,10,tensor(0.9358),1.1175870895385742e-08,7.450580596923828e-09
penalty,4,25,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,4,100,tensor(0.9358),0.0,0.0
penalty,5,0.01,tensor(0.5921),0.5384519696235657,0.3316137492656708
penalty,5,0.1,tensor(0.5392),0.09954512119293213,0.00659787654876709
penalty,5,1,tensor(0.6308),0.03483714163303375,0.0518488883972168
penalty,5,5,tensor(0.8128),0.002986609935760498,0.015562355518341064
penalty,5,10,tensor(0.9352),4.6193599700927734e-07,3.091059625148773e-06
penalty,5,25,tensor(0.9358),1.4901161193847656e-08,1.4901161193847656e-08
penalty,5,100,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,6,0.01,tensor(0.3684),0.9030807018280029,0.010164976119995117
penalty,6,0.1,tensor(0.3691),0.22867751121520996,0.028006434440612793
penalty,6,1,tensor(0.5547),0.012618541717529297,0.00535699725151062
penalty,6,5,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,6,10,tensor(0.9358),1.862645149230957e-08,3.725290298461914e-09
penalty,6,25,tensor(0.9358),0.0,1.4901161193847656e-08
penalty,6,100,tensor(0.9358),1.1175870895385742e-08,1.1175870895385742e-08
penalty,7,0.01,tensor(0.5128),0.8742270469665527,0.07323348522186279
penalty,7,0.1,tensor(0.4893),0.039641737937927246,0.020699501037597656
penalty,7,1,tensor(0.6220),0.028918921947479248,0.04099452495574951
penalty,7,5,tensor(0.8437),0.008181750774383545,0.004993230104446411
penalty,7,10,tensor(0.9358),1.7508864402770996e-06,4.0978193283081055e-07
penalty,7,25,tensor(0.9358),1.4901161193847656e-08,7.450580596923828e-09
penalty,7,100,tensor(0.9358),7.450580596923828e-09,1.1175870895385742e-08
penalty,8,0.01,tensor(0.5468),0.7169700264930725,0.5826501250267029
penalty,8,0.1,tensor(0.5243),0.05493885278701782,0.012709856033325195
penalty,8,1,tensor(0.6386),0.029757335782051086,0.06476737558841705
penalty,8,5,tensor(0.9351),1.4780089259147644e-06,4.041474312543869e-06
penalty,8,10,tensor(0.9358),7.450580596923828e-09,0.0
penalty,8,25,tensor(0.9358),3.725290298461914e-09,1.1175870895385742e-08
penalty,8,100,tensor(0.9358),3.725290298461914e-09,1.4901161193847656e-08
penalty,9,0.01,tensor(0.4105),0.8240211009979248,0.35037609934806824
penalty,9,0.1,tensor(0.3769),0.04430806636810303,0.177881121635437
penalty,9,1,tensor(0.6102),0.03422966226935387,0.0003969743847846985
penalty,9,5,tensor(0.9358),1.4901161193847656e-08,3.725290298461914e-09
penalty,9,10,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,9,25,tensor(0.9358),1.1175870895385742e-07,7.450580596923828e-08
penalty,9,100,tensor(0.9358),7.450580596923828e-09,0.0
penalty,10,0.01,tensor(0.6162),0.5806494951248169,0.18328678607940674
penalty,10,0.1,tensor(0.6391),0.0008265376091003418,0.08448386192321777
