lambda,data_seed,best_val_loss,best_gap1,best_gap2
penalty,0,0.01,tensor(0.5198),0.8572124242782593,0.041423261165618896
penalty,0,0.1,tensor(0.6146),0.005395958200097084,0.009793566539883614
penalty,0,1,tensor(0.7101),0.014808216132223606,0.022870272397994995
penalty,0,5,tensor(0.9358),0.0,3.725290298461914e-09
penalty,0,10,tensor(0.9358),7.450580596923828e-09,0.0
penalty,0,25,tensor(0.9358),2.2351741790771484e-08,1.862645149230957e-08
penalty,0,100,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,1,0.01,tensor(0.5050),0.6364495158195496,0.0737382173538208
penalty,1,0.1,tensor(0.6127),0.0025489756371825933,0.0207284614443779
penalty,1,1,tensor(0.9358),3.725290298461914e-09,1.1175870895385742e-08
penalty,1,5,tensor(0.8621),0.0036533772945404053,0.0010676681995391846
penalty,1,10,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,1,25,tensor(0.9358),3.725290298461914e-09,1.4901161193847656e-08
penalty,1,100,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,2,0.01,tensor(0.6807),0.6878575086593628,0.03180122375488281
penalty,2,0.1,tensor(0.5660),0.012059450149536133,0.007228493690490723
penalty,2,1,tensor(0.9358),1.1175870895385742e-08,0.0
penalty,2,5,tensor(0.9358),3.725290298461914e-09,1.4901161193847656e-08
penalty,2,10,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,2,25,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,2,100,tensor(0.9358),7.450580596923828e-09,1.1175870895385742e-08
penalty,3,0.01,tensor(0.6476),0.6168738603591919,0.395153284072876
penalty,3,0.1,tensor(0.4884),0.007972359657287598,0.010766208171844482
penalty,3,1,tensor(0.9358),3.725290298461914e-09,0.0
penalty,3,5,tensor(0.9358),2.2351741790771484e-08,3.725290298461914e-09
penalty,3,10,tensor(0.9358),3.725290298461914e-09,1.1175870895385742e-08
penalty,3,25,tensor(0.9358),0.0,0.0
penalty,3,100,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,4,0.01,tensor(0.4841),0.8513441681861877,0.07101541757583618
penalty,4,0.1,tensor(0.6135),0.01889791339635849,0.00029682181775569916
penalty,4,1,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,4,5,tensor(0.8664),0.005631141364574432,0.008682921528816223
penalty,4,10,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,4,25,tensor(0.9358),0.0,3.725290298461914e-09
penalty,4,100,tensor(0.9358),1.1175870895385742e-08,0.0
penalty,5,0.01,tensor(0.6348),0.6154833436012268,0.21601712703704834
penalty,5,0.1,tensor(0.6837),0.0047896988689899445,0.003886548802256584
penalty,5,1,tensor(0.7112),0.003705739974975586,0.024371296167373657
penalty,5,5,tensor(0.9358),3.725290298461914e-09,0.0
penalty,5,10,tensor(0.9358),3.725290298461914e-09,0.0
penalty,5,25,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
